Designator,Mid X,Mid Y,Rotation,Layer
C10,166.130219,-83.14183,0.0,top
C100,151.880219,-82.29183,180.0,top
C101,118.480219,-85.772817,180.0,top
C102,161.261541,-70.93253,90.0,top
C106,122.699319,-89.511136,270.0,top
C108,170.280219,-95.61683,180.0,bottom
C109,168.240219,-91.87183,180.0,top
C11,171.230219,-77.32183,270.0,top
C110,168.25,-92.875,180.0,top
C111,178.93,-95.57,0.0,top
C112,178.75,-94.6,0.0,top
C113,178.82,-90.1,0.0,top
C114,178.79,-89.1856,0.0,top
C115,169.980219,-89.16683,180.0,bottom
C116,175.380219,-88.99183,270.0,bottom
C117,170.305219,-95.61683,0.0,top
C118,169.980219,-89.16683,0.0,top
C119,175.405219,-89.01683,270.0,top
C12,136.215619,-81.12463,270.0,top
C120,173.255219,-86.925,270.0,top
C121,172.075,-86.95,270.0,top
C122,172.280219,-98.31683,90.0,top
C123,173.180219,-98.29183,90.0,top
C126,178.595219,-103.81683,90.0,top
C127,178.595219,-108.87683,90.0,top
C128,177.065219,-103.69683,0.0,top
C129,177.045219,-102.75683,0.0,top
C130,176.965219,-110.19683,0.0,top
C131,176.957205,-109.293217,0.0,top
C132,169.770219,-102.81183,90.0,top
C133,167.760219,-107.34183,180.0,top
C134,172.540219,-103.34183,0.0,top
C135,174.130219,-105.09183,270.0,top
C136,175.070219,-107.91183,270.0,top
C137,172.165219,-110.39683,180.0,top
C138,174.700219,-106.55183,0.0,top
C139,171.060219,-102.76183,90.0,top
C14,165.480219,-82.04183,0.0,top
C150,163.980219,-106.79183,0.0,top
C151,156.270219,-106.62183,180.0,top
C152,104.980219,-109.34183,270.0,bottom
C153,106.880219,-99.14183,90.0,bottom
C154,116.09,-108.99,270.0,bottom
C155,104.73,-104.51,270.0,bottom
C156,113.830219,-99.29183,180.0,top
C157,106.630219,-106.24183,90.0,bottom
C158,114.125,-112.3,180.0,bottom
C159,113.677019,-100.83503,0.0,bottom
C160,116.61,-105.43,180.0,bottom
C161,111.380219,-100.84183,180.0,bottom
C162,170.430219,-97.89183,90.0,top
C163,146.710219,-101.06183,90.0,top
C164,148.795755,-100.387524,0.0,top
C165,150.340219,-101.01183,270.0,top
C166,158.115755,-101.217524,90.0,top
